term,mean_a,q5_a,q95_a,mean_b,q5_b,q95_b,delta_mean,or_a,or_b,delta_or,same_sign,a_excludes_zero,b_excludes_zero,changed_support,model_a,model_b
fmt_matching,1.401125234449625,0.3331661000000001,2.3601349999999996,1.187676993219275,-0.056937794999999916,2.3369694999999995,-0.21344824123035,4.0597655857616,3.2794541577234706,-0.7803114280381291,TRUE,TRUE,FALSE,TRUE,glmm_informed,generic_weak
Intercept,2.3446129465925,0.4183484,4.270024999999999,2.2244748410675,0.30602095000000007,4.168001999999999,-0.12013810552500015,10.42923527519359,9.248624530550167,-1.180610744643424,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
prof_level1,-1.1616842040175,-1.927594,-0.4285782500000004,-1.063640639701,-1.8614700000000002,-0.24409565000000047,0.09804356431649985,0.3129586505563764,0.3451967827757996,0.03223813221942323,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
fmt_metalinguistic_reflection,0.5337235178035,-0.018111784999999977,1.0958874999999997,0.44991180409674997,-0.23496674999999997,1.0666059999999997,-0.08381171370675006,1.705270105443715,1.5681738728797838,-0.1370962325639311,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
goal_collocational_control,-0.2664907583305,-1.138506,0.6025160999999991,-0.333674072974375,-1.218244,0.5481699999999994,-0.067183314643875,0.7660630833953129,0.7162872015434028,-0.049775881851910175,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_prompted_writing,0.792166842055,0.27020010000000005,1.3094424999999998,0.7260567599005,0.086269075,1.3204204999999998,-0.06611008215449998,2.208176014732748,2.066914178289901,-0.14126183644284662,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
fmt_paradigmatic_systematization,6.213115500000062e-4,-0.8984211,0.8862650499999987,0.05726009809450001,-0.83948875,0.9676574999999998,0.056638786544500004,1.0006215046040012,1.0589312005671923,0.05830969596319102,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_cloze,0.3235402359985,-0.44324715,1.1129094999999998,0.2692046148075,-0.5050243999999999,1.0493089999999998,-0.054335621190999994,1.3820117617725263,1.3089229386629804,-0.0730888231095459,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_text_editing,2.4188115128,1.2014805000000002,3.6424439999999993,2.468624098125,1.228704,3.7029109999999994,0.04981258532499977,11.232501694285965,11.806191510297834,0.5736898160118695,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
goal_contextual_retrieval,-0.05545138277025003,-0.7311486,0.6041233999999998,-0.010132180998275004,-0.6425354,0.6449194999999999,0.04531920177197503,0.9460580172723674,0.9899189766224045,0.04386095935003709,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
goal_conceptual_organization,0.8433613341489999,0.034012715000000034,1.6404135,0.80175518673475,-0.10489334999999997,1.6783875,-0.04160614741424995,2.3241661606900665,2.2294505985045685,-0.09471556218549804,TRUE,TRUE,FALSE,TRUE,glmm_informed,generic_weak
goal_pragmatic_appropriateness,-0.51142242772615,-1.9695135,0.9254540499999994,-0.47029414003075,-1.9336315,0.9900294999999997,0.0411282876954,0.599642024455141,0.6248184571307235,0.02517643267558245,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_vocabulary_extraction_and_list_creation,-0.40818824191875003,-2.196274,1.4131079999999996,-0.44822460656725,-2.2959325,1.3572179999999991,-0.04003636464849997,0.6648537137033548,0.6387611979585963,-0.02609251574475846,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_accent_marking_and_read_aloud,0.9655067268175,-0.08355014999999984,2.0274569999999996,1.002823965955,-0.11330715,2.1197344999999994,0.03731723913749996,2.626118043813358,2.7259690128635974,0.0998509690502396,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_sentence_reconstruction,1.426603962965,0.56616615,2.2954804999999983,1.3895885825925,0.4529857,2.36908,-0.03701538037249996,4.164532244064845,4.013198613532663,-0.15133363053218218,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
prof_level4,0.8214875196,0.4144318,1.2603905,0.7906556321725,0.34036725,1.2472864999999995,-0.030831887427499982,2.273879763772562,2.2048415175141574,-0.06903824625840471,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
goal_productive_use_of_targets,0.1017375894585,-0.39555569999999995,0.5907685999999999,0.12831408896715002,-0.3558833,0.6100361499999997,0.026576499508650014,1.1070929207549554,1.1369100375232033,0.029817116768247942,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
ti_il_z,-0.027764843826499998,-0.25627435,0.2017019999999997,-0.053878900817250004,-0.30162729999999993,0.19117479999999995,-0.026114056990750006,0.9726170568166204,0.9475468467029389,-0.02507021011368149,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_translation,1.8146984015,1.02757,2.5995945,1.79361412275,0.97265515,2.653002,-0.021084278750000074,6.139224317354587,6.011138246733213,-0.12808607062137334,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
Total_ex_sc,-0.11833017322875,-0.3304735,0.09212194499999991,-0.13837742423813248,-0.35789805,0.08144765999999998,-0.020047251009382483,0.8884026774045336,0.8707699800215161,-0.017632697383017537,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
POS1_post_sc,0.962447968035,0.35508435,1.5855615,0.9823281376525,0.37082695,1.612964,0.019880169617500054,2.618097654654085,2.670666689412836,0.052569034758751076,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
fmt_syntagmatic_systematization,0.540540518805,-0.8481308,1.938817499999999,0.5597972366805,-0.8386873499999999,1.9071474999999998,0.019256717875499985,1.7169346468833282,1.750317564113819,0.033382917230490694,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
POS2_post_sc,-1.0242636041375,-1.66824,-0.37890160000000006,-1.043513510745,-1.6973395,-0.39449145000000063,-0.019249906607500034,0.3590607789463106,0.35221499423921243,-0.006845784707098179,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
prof_level2,-0.024911647669152513,-0.59451875,0.5384334499999999,-0.04286500371125,-0.6438556,0.5555446999999999,-0.01795335604209749,0.9753960867391712,0.9580407132785215,-0.017355373460649748,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
goal_meaning_and_sense_elaboration,-0.86715957672,-1.523094,-0.22670140000000016,-0.85403295583,-1.586012,-0.12070980000000013,0.01312662088999994,0.4201432406340782,0.42569465763390807,0.005551416999829861,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
goal_paraphrastic_flexibility,-1.878392927235,-3.056733,-0.7239507500000005,-1.8913631723275,-3.069258,-0.73437615,-0.012970245092499999,0.15283552631157865,0.15086601222708945,-0.001969514084489199,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
time1,0.0392008897072225,-0.13898239999999998,0.21203465,0.027847441151724998,-0.1835055,0.23403364999999998,-0.0113534485554975,1.0399793838204414,1.0282388055271747,-0.01174057829326669,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
Tree_ex_sc,-0.333799460469,-0.53840435,-0.13374825000000007,-0.3235278160185,-0.5387914500000001,-0.11769895000000012,0.010271644450499995,0.7161973937162761,0.7235918301987118,0.007394436482435651,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
Soph_ex_sc,-0.019080867085750002,-0.16005685,0.12457254999999998,-0.026272220297175002,-0.17159244999999998,0.12152364999999986,-0.007191353211425,0.9811000203353011,0.9740698919188426,-0.007030128416458448,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
prof_level3,-0.473863950833,-1.099436,0.13073834999999992,-0.480939231565925,-1.114672,0.17611499999999972,-0.007075280732925016,0.6225919499222217,0.6182024837583784,-0.004389466163843281,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_discrete_choice,0.7791840336557501,0.11214805000000003,1.4655529999999999,0.7739205239055,0.10924390000000005,1.4492589999999999,-0.005263509750250028,2.179692983564448,2.16825028907777,-0.011442694486677674,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
POS1_ex_sc,-0.105464091241665,-0.27657919999999997,0.068968814999999975,-0.101079620264175,-0.27374505,0.07280719999999986,0.004384470977490007,0.8999067868019343,0.9038610643641036,0.003954277562169373,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
Soph_post_sc,-0.048098019587725,-0.2257426,0.12674399999999997,-0.05194167688015,-0.2259859,0.12248269999999999,-0.003843657292425001,0.9530403658752773,0.949384236278811,-0.0036561295964663287,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
POS2_ex_sc,-0.03880884467895,-0.22464825000000002,0.15313079999999998,-0.042043853886775,-0.23000769999999998,0.1461435499999999,-0.0032350092078249973,0.9619345704844203,0.9588277313277135,-0.003106839156706842,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
Tree_post_sc,0.18654391628536252,0.0038023975000000144,0.37545575,0.1888234228135,0.005404280000000002,0.37339035,0.0022795065281374927,1.205077543452915,1.2078276588422854,0.002750115389370311,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
Total_post_sc,-0.230630154500775,-0.43787944999999995,-0.02826904500000001,-0.23290203706525,-0.4415656,-0.03144018500000005,-0.0022718825644749974,0.7940330812971078,0.7922311790143178,-0.00180190228278998,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
LexDiv_ex_sc,-0.059041848180175,-0.21612115,0.10052735,-0.060679621660525,-0.21895085,0.09586033499999996,-0.001637773480349998,0.9426673194198275,0.9411247074525869,-0.0015426119672405925,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
LexDiv_post_sc,-0.083356676213075,-0.23274319999999998,0.06558927999999999,-0.084737228227725,-0.2403089,0.06807554999999987,-0.0013805520146499967,0.9200229383938551,0.918753675216243,-0.0012692631776121122,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
